"lyric","name","album"
"1,2,3,4 well 17 know mean way looked way beyond compare could dance another ooh saw standing well looked could see long fall love would dance another whooh saw standing well heart went boom crossed room held hand mine whoah danced night held tight long fell love never dance another whooh since saw standing well heart went boom crossed room held hand mine whoah danced night held tight long fell love never dance another whooh since saw standing","I Saw Her Standing There","Please Please Me"
"love love know love always true please love whoa love love love know love always true please love whoa love someone love somebody new someone love someone like love love know love always true please love whoa love love love know love always true please love whoa love yeah love whoa love","Love Me Do","Please Please Me"
"write letter send love remember always love treasure word till together keep love forever p.s love coming home love till day love p.s love write letter send love remember always love treasure word till together keep love forever p.s love write letter send love know want remember always yeah love coming home love till day love p.s love love","P.S. I Love You","Please Please Me"
"sha la la la la la la la sha la la la la la la la sha la la la la la la la sha la la la la way smile touched heart sha la la la la way kiss tear apart uh many many many night go sit alone home cry ca help 'cause baby baby hear say cheat cheat say say never never never ever true cheat cheat uh matter say know gon love old way true want nobody nobody 'cause baby sha la la la la la la baby sha la la la la la la uh matter say know gon love old way true want nobody nobody 'cause baby sha la la la la la la baby sha la la la la la la leave alone","Baby It's You","Please Please Me"
"well shake baby shake baby twist shout twist shout c'mon c'mon c'mon c'mon baby come baby come work work well work honey work know look good look good know got goin got goin like knew would like knew would well shake baby shake baby twist shout twist shout c'mon c'mon c'mon c'mon baby come baby come work work know twist little girl twist little girl know twist fine twist fine come twist little closer twist little closer let know mine let know mine well shake baby shake baby twist shout twist shout c'mon c'mon c'mon c'mon baby come baby come work work know twist little girl twist little girl know twist fine twist fine come twist little closer twist little closer let know mine let know mine well shake shake shake baby shake baby well shake shake shake baby shake baby well shake shake shake baby shake baby","Twist And Shout","Please Please Me"
"told boy kiss girl take trip around world hey hey bop shuop m'bop bop shuop hey hey bop shuop m'bop bop shuop hey hey bop shuop yeah say ya bop shuop girl say kiss lip get thrill fingertip hey hey bop shuop m'bop bop shuop hey hey bop shuop m'bop bop shuop hey hey bop shuop yeah say ya bop shuop well talk boy ya know mean boy well talk boy aaahhh boy well talk boy bundle joy alright george girl say kiss lip get thrill fingertip hey hey bop shuop m'bop bop shuop hey hey bop shuop m'bop bop shuop hey hey bop shuop yeah say ya bop shuop well talk boy ya know mean boy well talk boy aaahhh boy well talk boy bundle joy ah yeah boy ya know mean boy ooh boy ah ha well talk boy","Boys","Please Please Me"
"never know much really love never know much really care listen want know secret promise tell whoa closer let whisper ear say word long hear love listen want know secret promise tell whoa closer let whisper ear say word long hear love known secret week two nobody know two listen want know secret promise tell whoa closer let whisper ear say word long hear love","Do You Want To Know A Secret","Please Please Me"
"place go feel low feel blue mind time alone think thing go 'round head thing said like love mind sorrow know sad tomorrow know place go feel low feel blue mind time alone place","There's A Place","Please Please Me"
"chain baby got locked chain ai kind see whoa chain love got hold yeah chain well ca break away chain ca run around co free whoa chain love wo let yeah wan tell pretty baby think fine like love darling imprisoned chain baby got locked chain ai kind see chain love got hold please believe tell lip sweet like kiss ca break away chain baby got locked chain ai kind see whoa chain love got hold yeah chain chain love","Chains","Please Please Me"
"anna come ask girl set free girl say love set free go anna go anna anna girl go want know still love love go life searching girl love like love every girl ever break heart leave sad supposed anna one thing girl give back ring set free go life searching girl love like love let tell every girl ever break heart leave sad supposed anna one thing girl give back ring set free go anna go anna go girl anna go","Anna (Go To Him)","Please Please Me"
"world treating bad misery kind guy never used cry world treating bad misery lost sure wo see gon drag misery remember little thing done ca see always one one send back co everyone see without misery remember little thing done remember miss one lonely one send back co everyone see without misery misery ooh ee ooh ooh misery la la la la la la","Misery","Please Please Me"
"last night said word girl know never even try girl c'mon c'mon c'mon c'mon c'mon c'mon c'mon c'mon please please whoa yeah like please need show way love always say love c'mon c'mon c'mon c'mon c'mon c'mon c'mon c'mon please please whoa yeah like please wan sound complaining know always rain heart heart pleasing hard reason whoah yeah make blue last night said word girl know never even try girl c'mon c'mon c'mon c'mon c'mon c'mon c'mon c'mon please please whoa yeah like please whoa yeah like please whoa yeah like please","Please Please Me","Please Please Me"
"love 'cause tell thing want know true really go show know never never never blue mine happiness still make cry time understand reason cry sad love ever ca believe happened ca conceive misery ask say love always thinking love 'cause tell thing want know true really go show know never never never blue ask say love always thinking ca believe happened ca conceive misery ask say love always thinking","Ask Me Why","Please Please Me"
"taste honey tasting much sweeter wine dream first kiss feel upon lip taste honey tasting much sweeter wine return yes return come back honey kiss awoke heart lingers still though far apart taste honey tasting much sweeter wine return yes return come back come back honey honey","A Taste Of Honey","Please Please Me"
"know made cry see use wondering cry changed mind see reason change mine cry giving old line wondering hurt back second time know made cry see use wondering cry yea changed mind see reason change mine cry giving old line wondering hurt back second time second time second time","Not A Second Time","With The Beatles"
"well gon write little letter gon mail local d.j rocking little record want jockey play roll beethoven got ta hear today know temperature rising jukebox blow fuse heart beating rhythm soul keep singing blue roll beethoven tell tchaikovsky news got rocking pneumonia need shot rhythm blue think caught writer sittin rhythm review roll beethoven rockin two two well feel like well get lover reel rock roll move triffle reel rock roll roll beethoven rocking two two ooo well early morning giving warning step blue suede shoe hey diddle diddle play fiddle ai got nothing lose roll beethoven tell tchaikovsky news know wiggle like glow worm dance like spinning top got crazy partner oughta see reel rock long got dime music never stop roll beethoven roll beethoven roll beethoven roll beethoven roll beethoven dig rhythm blue","Roll Over Beethoven","With The Beatles"
"wait yes wait minute mister postman wait wait mister postman mister postman look see letter bag waiting long long time since heard girl mine must word today girlfriend far away please mister postman look see letter letter standing waiting mister postman patiently card letter saying returning home mister postman look see letter bag waiting long long time since heard girl mine many day passed see tear standing eye stop make feel better leaving card letter mister postman look see letter bag waiting long long time since heard girlfriend mine got ta wait minute wait minute got ta wait minute wait minute got ta wait minute wait minute got ta check see one time got ta wait minute wait minute got ta wait minute wait minute got ta wait minute wait minute deliver letter sooner better got ta wait minute wait minute got ta wait minute wait minute got ta wait minute wait minute","Please Mister Postman","With The Beatles"
"whenever want around yeah got ta call phone come running home yeah got ta wan kiss yeah got ta whisper ear word long hear kissin go whenever want yes whenever call got ta call yeah got ta call wan kiss yeah got ta call phone come running home yeah got ta go whenever want yes whenever call got ta call yeah got ta call got ta call mmmmmm mm mm","All I've Got To Do","With The Beatles"
"wo long yeh yeh yeh wo long yeh yeh yeh wo long yeh till belong every night everybody fun sitting wo long yeh yeh yeh wo long yeh yeh yeh wo long yeh till belong since left alone coming coming home good like know coming home coming home every night tear come eye every day done nothing cry wo long yeh yeh yeh wo long yeh yeh yeh wo long yeh till belong since left alone coming coming home good like know coming home coming home every day happy know know wo leave wo long yeh yeh yeh wo long yeh yeh wo long yeh till belong woo","It Won't Be Long","With The Beatles"
"wan lover baby wan man wan lover baby wan man love like baby like love like baby like wan man wan man wan man wan man tell love baby let understand tell love baby wan man wan lover baby wan man wan lover baby wan man wan man wan man wan man wan man wan lover baby wan man wan lover baby wan man love like baby like love like baby like wan man wan man wan man wan man wan man wan man","I Wanna Be Your Man","With The Beatles"
"feel right hold tight tell one might never lonely one hold tight tonight tonight oooo oooo hold tight let go loving tonight tonight making love hold tight tonight tonight oooo oooo know mean hold tight alone tonight feel right feel right hold tight tell one might never lonely one hold tight tonight tonight oooo oooo know mean hold tight alone tonight feel right feel right hold tight let go loving tonight tonight making love hold tight tonight tonight oooo oooo oooo","Hold Me Tight","With The Beatles"
"bell hill never heard ringing never heard till bird sky never saw winging never saw till music wonderful rose tell sweet fragrant meadow dawn dew love around never heard singing never heard till music wonderful rose tell sweet fragrant meadow dawn dew love around never heard singing never heard till till","Till There Was You","With The Beatles"
"like love seems always thinking treat badly love madly really got hold really got hold really got hold really got hold baby want need want kiss need wrong love strong really got hold really got hold really got hold really got hold baby love want hold hold hold hold tighter tighter want leave want stay want spend another day want split ca quit really got hold really got hold really got hold really got hold baby love want hold hold hold hold really got hold really got hold really got hold really got hold","You Really Got A Hold On Me","With The Beatles"
"close eye kiss tomorrow miss remember always true away write home every day send loving pretend kissing lip missing hope dream come true away write home every day send loving loving send loving darling true close eye kiss tomorrow miss remember always true away write home every day send loving loving send loving darling true loving loving ooh loving send","All My Loving","With The Beatles"
"since gone want one talk blame plain see go away leave alone bother ca believe would leave right every night alone got time right bother know never get back know always girl till please come near stay away let know come home untill day come around leave alone bother got time right bother know never get back know always girl till please come near stay away let know come home untill day come around leave alone bother bother bother","Don't Bother Me","With The Beatles"
"best thing life free keep 'em bird bee give money want want want want want yeah want loving give thrill loving pay bill give money want want want want want yeah want money get everything true get ca use give money want want want want want yeah want well give money want whole lot money want whoah yeah wan free want money want want yeah want want well give money want whole lot money want whoo whoah yeah know need money want give money want whoo want yeah want want","Money (That's What I Want)","With The Beatles"
"little child little child little child wo dance sad lonely baby take chance little child little child little child wo dance sad lonely baby take chance want someone make feel fine fun mine mine come come come little child little child little child wo dance sad lonely baby take chance side one run hide come come come come come little child little child little child wo dance sad lonely baby take chance baby take chance baby take chance","Little Child","With The Beatles"
"got devil heart eye tantalize gon tear heart apart lip really thrill take chance romance important never hurt wo desert angel sent got devil heart ca believe gon tear heart apart nay deceive ca believe ever ever go hug say love never hurt wo desert listen ca see got devil heart ca believe gon tear heart apart nay deceive take chance romance important never hurt wo desert angel sent got devil heart ca believe gon tear heart apart nay deceive got devil heart angel sent got devil heart angel sent","Devil In Her Heart","With The Beatles"
"ca buy love love ca buy love buy diamond ring friend make feel alright get anything friend make feel alright 'cause care much money money ca buy love give got give say love may lot give got give care much money money ca buy love ca buy love everybody tell ca buy love say need diamond ring satisfied tell want kind thing money ca buy care much money money ca buy love ca buy love everybody tell ca buy love say need diamond ring satisfied tell want kind thing money ca buy care much money money ca buy love ca buy love love ca buy love","Can't Buy Me Love","A Hard Day's Night"
